fecha,anio,mes,linea,afluencia
7/26/2005,2005,Julio,Linea 1,3032667
7/26/2005,2005,Julio,Linea 5,0
7/26/2005,2005,Julio,Linea 2,0
7/26/2005,2005,Julio,Linea 3,0
7/26/2005,2005,Julio,Linea 6,0
7/26/2005,2005,Julio,Linea 7,0
7/26/2005,2005,Julio,Linea 4,0
7/27/2005,2005,Julio,Linea 1,230465
7/27/2005,2005,Julio,Linea 6,0
7/27/2005,2005,Julio,Linea 3,0
7/27/2005,2005,Julio,Linea 2,0
7/27/2005,2005,Julio,Linea 5,0
7/27/2005,2005,Julio,Linea 7,0
7/27/2005,2005,Julio,Linea 4,0
7/28/2005,2005,Julio,Linea 5,0
7/28/2005,2005,Julio,Linea 2,0
7/28/2005,2005,Julio,Linea 3,0
7/28/2005,2005,Julio,Linea 1,237296
7/28/2005,2005,Julio,Linea 4,0
7/28/2005,2005,Julio,Linea 6,0
7/28/2005,2005,Julio,Linea 7,0
7/29/2005,2005,Julio,Linea 4,0
7/29/2005,2005,Julio,Linea 2,0
7/29/2005,2005,Julio,Linea 1,258356
7/29/2005,2005,Julio,Linea 5,0
7/29/2005,2005,Julio,Linea 3,0
7/29/2005,2005,Julio,Linea 6,0
7/29/2005,2005,Julio,Linea 7,0
7/30/2005,2005,Julio,Linea 5,0
7/30/2005,2005,Julio,Linea 1,159470
7/30/2005,2005,Julio,Linea 3,0
7/30/2005,2005,Julio,Linea 6,0
7/30/2005,2005,Julio,Linea 7,0
7/30/2005,2005,Julio,Linea 2,0
7/30/2005,2005,Julio,Linea 4,0
7/31/2005,2005,Julio,Linea 7,0
7/31/2005,2005,Julio,Linea 4,0
7/31/2005,2005,Julio,Linea 6,0
7/31/2005,2005,Julio,Linea 3,0
7/31/2005,2005,Julio,Linea 1,104834
7/31/2005,2005,Julio,Linea 2,0
7/31/2005,2005,Julio,Linea 5,0
8/1/2005,2005,Agosto,Linea 4,0
8/1/2005,2005,Agosto,Linea 5,0
8/1/2005,2005,Agosto,Linea 3,0
8/1/2005,2005,Agosto,Linea 2,0
8/1/2005,2005,Agosto,Linea 6,0
8/1/2005,2005,Agosto,Linea 7,0
8/1/2005,2005,Agosto,Linea 1,262284
8/2/2005,2005,Agosto,Linea 1,231380
8/2/2005,2005,Agosto,Linea 7,0
8/2/2005,2005,Agosto,Linea 4,0
8/2/2005,2005,Agosto,Linea 2,0
8/2/2005,2005,Agosto,Linea 5,0
8/2/2005,2005,Agosto,Linea 6,0
8/2/2005,2005,Agosto,Linea 3,0
8/3/2005,2005,Agosto,Linea 6,0
8/3/2005,2005,Agosto,Linea 7,0
8/3/2005,2005,Agosto,Linea 1,255913
8/3/2005,2005,Agosto,Linea 2,0
8/3/2005,2005,Agosto,Linea 5,0
8/3/2005,2005,Agosto,Linea 4,0
8/3/2005,2005,Agosto,Linea 3,0
8/4/2005,2005,Agosto,Linea 7,0
8/4/2005,2005,Agosto,Linea 4,0
8/4/2005,2005,Agosto,Linea 3,0
8/4/2005,2005,Agosto,Linea 1,262391
