linea,estacion,long,lat
2,Cuatro Caminos,-99.21586090468466,19.459566011298094
2,Panteones,-99.2030614606276,19.458652165853593
2,Tacuba,-99.18707244348279,19.45893880592692
2,Cuitláhuac,-99.18144890243987,19.45722250730728
2,Popotla,-99.17483552208981,19.452382530485224
2,Colegio Militar,-99.17184840220152,19.44918805013033
2,Normal,-99.16736371505377,19.44456980026554
2,San Cosme,-99.16065784691467,19.44188085889401
2,Revolución,-99.15396228153485,19.43908251938771
2,Hidalgo,-99.14695900373621,19.437396118561466
2,Bellas Artes,-99.140674174808300,19.436162300187700
2,Allende,-99.13690020152687,19.435504916037274
2,Zócalo,-99.13242536668454,19.43215891815045
2,Pino Suárez,-99.133105274433700,19.425888867904700
2,San Antonio Abad,-99.13460652733535,19.41603743343488
2,Chabacano,-99.135524853946000,19.409109921233500
2,Viaducto,-99.13693570693789,19.40075535560821
2,Xola,-99.13781311024619,19.395139518009742
2,Villa de Cortés,-99.13897253087292,19.38766129256291
2,Nativitas,-99.14021266721119,19.379409672276182
2,Portales,-99.14157649312043,19.36978428413279
2,Ermita,-99.14296328554465,19.35984311992813
2,General Anaya,-99.14507594276517,19.35321680159366
2,Tasqueña,-99.1397689460876,19.343750123833544
