anio,fecha,semana,variacion
2020,3/2/2020,10,-10.21387904
2020,3/3/2020,10,-3.749879556
2020,3/4/2020,10,-0.4
2020,3/5/2020,10,-6.474034116
2020,3/6/2020,10,-1.958923855
2020,3/7/2020,10,-1.864687315
2020,3/8/2020,10,-29.89577336
2020,3/9/2020,11,-62.64600709
2020,3/10/2020,11,-30.29878383
2020,3/11/2020,11,-0.4
2020,3/12/2020,11,0.248350045
2020,3/13/2020,11,-5.57794343
2020,3/14/2020,11,-1.349238708
2020,3/15/2020,11,-31.57491414
2020,3/16/2020,12,-66.60979589
2020,3/17/2020,12,-37.35593902
2020,3/18/2020,12,-32.62961744
2020,3/19/2020,12,-49.58836786
2020,3/20/2020,12,-50.25256794
2020,3/21/2020,12,-45.43535022
2020,3/22/2020,12,-49.99066923
2020,3/23/2020,13,-66.82011348
2020,3/24/2020,13,-73.87861802
2020,3/25/2020,13,-74.19633718
2020,3/26/2020,13,-78.17865883
2020,3/27/2020,13,-80.19300226
2020,3/28/2020,13,-70.64940044
2020,3/29/2020,13,-71.12981676
2020,3/30/2020,14,-73.03290484
2020,3/31/2020,14,-70.11428524
2020,4/1/2020,14,-66.94327046
2020,4/2/2020,14,-72.45471442
2020,4/3/2020,14,-73.55389176
2020,4/4/2020,14,-64.64384364
2020,4/5/2020,14,-68.0840166
2020,4/6/2020,15,-82.61149961
2020,4/7/2020,15,-85.96989539
2020,4/8/2020,15,-83.29895383
2020,4/9/2020,15,-88.42813774
2020,4/10/2020,15,-92.57928307
2020,4/11/2020,15,-87.63085347
2020,4/12/2020,15,-80.65712414
2020,4/13/2020,16,-82.09484987
2020,4/14/2020,16,-84.3431741
2020,4/15/2020,16,-82.87161776
2020,4/16/2020,16,-85.11129388
2020,4/17/2020,16,-87.81511918
2020,4/18/2020,16,-80.76612566
2020,4/19/2020,16,-75.79202319
2020,4/20/2020,17,-79.73587575
2020,4/21/2020,17,-81.85470526
2020,4/22/2020,17,-79.04127108
2020,4/23/2020,17,-86.35203619
2020,4/24/2020,17,-87.12476075
2020,4/25/2020,17,-83.36739956
2020,4/26/2020,17,-82.83059697
2020,4/27/2020,18,-85.07130103
2020,4/28/2020,18,-86.0417426
2020,4/29/2020,18,-84.3390737
2020,4/30/2020,18,-80.2591952
2020,5/1/2020,18,-89.3797862
2020,5/2/2020,18,-81.23486258
2020,5/3/2020,18,-79.41236029
2020,5/4/2020,19,-82.74625688
2020,5/5/2020,19,-84.99566403
2020,5/6/2020,19,-84.77424875
2020,5/7/2020,19,-87.58370727
2020,5/8/2020,19,-86.44421784
2020,5/9/2020,19,-81.84427458
2020,5/10/2020,19,-79.48382998
2020,5/11/2020,20,-86.66865594
2020,5/12/2020,20,-88.05388331
2020,5/13/2020,20,-86.14270964
2020,5/14/2020,20,-87.64337579
2020,5/15/2020,20,-85.46720979
2020,5/16/2020,20,-80.62302049
2020,5/17/2020,20,-79.34287586
2020,5/18/2020,21,-82.42428326
2020,5/19/2020,21,-85.94894868
2020,5/20/2020,21,-84.10838389
2020,5/21/2020,21,-86.4153332
2020,5/22/2020,21,-84.79375587
2020,5/23/2020,21,-79.750619
2020,5/24/2020,21,-78.69011931
2020,5/25/2020,22,-81.32601152
2020,5/26/2020,22,-85.06960591
2020,5/27/2020,22,-83.79146537
2020,5/28/2020,22,-84.25920326
2020,5/29/2020,22,-81.40885469
2020,5/30/2020,22,-75.13750246
2020,5/31/2020,22,-73.83256239
2020,6/1/2020,23,-76.27189204
2020,6/2/2020,23,-81.76589122
2020,6/3/2020,23,-80.44063993
2020,6/4/2020,23,-82.41673621
2020,6/5/2020,23,-81.02713992
2020,6/6/2020,23,-77.14448492
2020,6/7/2020,23,-75.67409819
2020,6/8/2020,24,-73.48121339
2020,6/9/2020,24,-80.05349789
2020,6/10/2020,24,-79.34407945
2020,6/11/2020,24,-81.15462612
2020,6/12/2020,24,-79.32887272
2020,6/13/2020,24,-72.68122379
2020,6/14/2020,24,-75.12139922
2020,6/15/2020,25,-69.28015555
2020,6/16/2020,25,-75.5817948
2020,6/17/2020,25,-73.64805694
2020,6/18/2020,25,-76.69964562
2020,6/19/2020,25,-73.33449665
2020,6/20/2020,25,-69.06795335
2020,6/21/2020,25,-72.06646682
2020,6/22/2020,26,-71.86147915
2020,6/23/2020,26,-76.7166874
2020,6/24/2020,26,-72.76180493
2020,6/25/2020,26,-75.03779678
2020,6/26/2020,26,-72.39347886
2020,6/27/2020,26,-70.13989205
2020,6/28/2020,26,-72.83953068
2020,6/29/2020,27,-67.03861277
2020,6/30/2020,27,-67.43101202
2020,7/1/2020,27,-63.00295417
2020,7/2/2020,27,-67.20126433
2020,7/3/2020,27,-62.76081571
2020,7/4/2020,27,-63.67990884
2020,7/5/2020,27,-63.86928987
