nombre,inicia,termina,tipo_via,vel_max,latitud,longitud,geo_shape
Circuito Interior Jose Vasconcelos,Eje 4 Sur Benjamin Franklin,Paseo de la Reforma,Via de acceso controlado,80,19.41548946,-99.18021908,"{""type"": ""LineString"", ""coordinates"": [[-99.17766677853633, 19.423571853454717], [-99.17780937518776, 19.423188786375253], [-99.17785955482162, 19.42298766147029], [-99.17785955473882, 19.422041190888383], [-99.17783736328981, 19.42057619882282], [-99.17782191971102, 19.419556678843907], [-99.17790973408353, 19.419000616501354], [-99.17846170425985, 19.417994966820462], [-99.17894861881743, 19.417011265886526], [-99.17901755541615, 19.416898434889525], [-99.17935238383043, 19.41635041980254], [-99.18144736488746, 19.412682747179694], [-99.1821011793059, 19.411636860752385], [-99.18303168638842, 19.410152495442887], [-99.18351417210843, 19.40926403701677], [-99.18404260902061, 19.40821305005969], [-99.18421680159666, 19.40780663573001]]}"
Circuito Interior Instituto Tecnico Industrial,Av. Ribera de San Cosme,Eje 2 Norte Eulalia Guzman,Via de acceso controlado,80,19.45167306,-99.16428443,"{""type"": ""LineString"", ""coordinates"": [[-99.1626103205758, 19.459614245626], [-99.16293126409016, 19.459138714431177], [-99.16304416721168, 19.458937634549443], [-99.16320724895017, 19.45836987815918], [-99.16343305501604, 19.45742361399796], [-99.16372027889115, 19.455980549479353], [-99.16375908946296, 19.455798914462157], [-99.16406029493646, 19.453863244491174], [-99.16428610108187, 19.45186419893164], [-99.16432373481747, 19.451189959024724], [-99.16433627954865, 19.449971588607646], [-99.16471262274409, 19.448232733107414], [-99.16472483803307, 19.448176846723833], [-99.165305917356, 19.445518387071736], [-99.16572451423866, 19.443630396020684]]}"
Circuito Interior Boulevard Puerto Aereo,Fundidora de Monterrey,Eje 1 Sur Fray Servando Teresa de Mier,Via de acceso controlado,80,19.42665461,-99.09250593,"{""type"": ""LineString"", ""coordinates"": [[-99.09791434558947, 19.416929579944856], [-99.09730323815813, 19.41806003811589], [-99.09636237985704, 19.419769638885217], [-99.09630959022037, 19.419864573502522], [-99.09535252470113, 19.42158569988094], [-99.09411059107288, 19.423898634547648], [-99.09247976980248, 19.426820811988076], [-99.0924410599844, 19.42688972722176], [-99.09125038077518, 19.42900945290012], [-99.0891428576884, 19.432771480066876], [-99.08882923759195, 19.4332683446008], [-99.08852816288982, 19.433658737322148], [-99.0880890963124, 19.43436854042031], [-99.08766257355974, 19.435019190273298], [-99.0872360508708, 19.435456898921263], [-99.08687225214678, 19.43578813673675], [-99.08667153544314, 19.43608388446133]]}"
Circuito Interior Rio Mixcoac,Av. Universidad,Av. Revolucion,Via de acceso controlado,80,19.36620769,-99.17940376,"{""type"": ""LineString"", ""coordinates"": [[-99.18748558239203, 19.372340360513594], [-99.18706798677182, 19.37201913346231], [-99.18666109862716, 19.37173359804064], [-99.18602221355376, 19.37133384808272], [-99.18478013486339, 19.370512934622678], [-99.1824133099892, 19.368935360335232], [-99.18153517542005, 19.36826077685727], [-99.18092883725569, 19.36782173993044], [-99.18031833221467, 19.367527015212545], [-99.17976636169257, 19.367219308209332], [-99.17960327901088, 19.367065453877167], [-99.17802263707168, 19.365302042418833], [-99.1777480343716, 19.36504850288385], [-99.1747232498428, 19.362201210758883], [-99.17447246360808, 19.361940855357716], [-99.17360687375535, 19.360887510827503], [-99.17321798569323, 19.3604851086539], [-99.17287927625578, 19.360260235496845], [-99.17176061783309, 19.35956366964483]]}"
Circuito Interior Av. Revolucion,Eje 4 Sur Benjamin Franklin,Molinos,Via de acceso controlado,80,19.38998474,-99.18606134,"{""type"": ""LineString"", ""coordinates"": [[-99.18421680159666, 19.40780663573001], [-99.18426087612634, 19.40770380590918], [-99.18435277808993, 19.40656612738644], [-99.18459402096472, 19.404420770168084], [-99.18466294681721, 19.403109704033803], [-99.18473187397834, 19.40279548012636], [-99.18470889839676, 19.40239457299223], [-99.1847088982403, 19.401863640699005], [-99.18485823857279, 19.400563389531676], [-99.18491710524962, 19.399949355734098], [-99.18505353076691, 19.398526308208], [-99.18519138335203, 19.397063495889686], [-99.185409650731, 19.395102221706406], [-99.18557047957471, 19.393715229476047], [-99.18577725912223, 19.39202481630035], [-99.18597255047735, 19.390410238809668], [-99.18601850201755, 19.389803413608224], [-99.18617933046517, 19.389066551972128], [-99.18624825631541, 19.388275504650373], [-99.18635164616668, 19.387614489891774], [-99.1863746217247, 19.386931800226037], [-99.1865699132902, 19.38521964317324], [-99.18657375334219, 19.385185592226872], [-99.18662735271191, 19.384710327797045], [-99.18685710737216, 19.382954800983747], [-99.18698347249047, 19.381708583188384], [-99.18712132525684, 19.380505702424834], [-99.18727066649777, 19.379400344375625], [-99.1873740561347, 19.378457533565797], [-99.18767196878274, 19.37596062645732], [-99.18777612687835, 19.375087210663335], [-99.18790249228512, 19.373960141458056], [-99.18792546799764, 19.373385766959], [-99.187939980583, 19.372920782082403], [-99.18791039932552, 19.372775111777457], [-99.18779401854835, 19.372589074754536], [-99.18748558239203, 19.372340360513594]]}"
Anillo Periferico Boulevard Manuel Avila Camacho,Paseo de la Reforma,Ingenieros Militares,Via de acceso controlado,80,19.43911999,-99.213577,"{""type"": ""LineString"", ""coordinates"": [[-99.2200129484237, 19.45287996665063], [-99.22019160404065, 19.449900264650957], [-99.2202539905744, 19.447358943344753], [-99.22022903545542, 19.446229454623854], [-99.22007930804867, 19.445594113710296], [-99.21938580613016, 19.444838816027055], [-99.21878986511844, 19.44453290900876], [-99.21812021501052, 19.44422320353863], [-99.21811779921995, 19.444221914123652], [-99.2177250144625, 19.44401224936616], [-99.21751407361492, 19.443870111383482], [-99.21732348172084, 19.443685442319165], [-99.21716757549522, 19.443511928624147], [-99.21646088302862, 19.442723282498], [-99.21593522003161, 19.442102170278048], [-99.21585382942582, 19.442006876759038], [-99.21574767265555, 19.44184450963071], [-99.21513828573364, 19.440770147830538], [-99.21438964575309, 19.439217035323185], [-99.21426577959586, 19.438939041785382], [-99.21314191343193, 19.43641668939469], [-99.21264282008958, 19.435757777371524], [-99.2121686813694, 19.43526359117171], [-99.21002536441237, 19.433419687815128], [-99.20970481090471, 19.433238706886804], [-99.20926936921553, 19.4330638160999], [-99.20905878677598, 19.43298172522322], [-99.20887675802823, 19.432863941310423], [-99.20873042083421, 19.432728311962755], [-99.20855553041575, 19.432496314447032], [-99.20839134821784, 19.432110841735724], [-99.20823073414387, 19.431775337841206], [-99.20799516801186, 19.43152549486487], [-99.20759817138811, 19.431296245888763], [-99.20725277645418, 19.431093622215222], [-99.20451394959505, 19.42904526825361], [-99.20303888810584, 19.427818598534923], [-99.20264262267219, 19.42747786989627]]}"
Anillo Periferico Av. Rio de los Remedios,Pedro Galan,Limite Estado de Mexico,Via de acceso controlado,80,19.50527612,-99.08086697,"{""type"": ""LineString"", ""coordinates"": [[-99.06405620329188, 19.498333357146034], [-99.065886023445, 19.49903993363407], [-99.0684213168754, 19.50004783965486], [-99.07321632736281, 19.502022068944747], [-99.07350292544731, 19.502125975292092], [-99.07393282296074, 19.502240272398694], [-99.07436272109217, 19.502344178430032], [-99.07536581487916, 19.502832535974726], [-99.07658936901106, 19.503445577461232], [-99.07809870832878, 19.504066329967852], [-99.08056867741819, 19.50509766378475], [-99.08387558069255, 19.50658348665704], [-99.08582902453212, 19.507390247611788], [-99.09046734214796, 19.509305729080992], [-99.09068367976441, 19.509407687531446], [-99.09097440143898, 19.50954470239311], [-99.09262785270653, 19.510188889901297], [-99.09360890122925, 19.510604493458352], [-99.0940718674901, 19.510791514381594], [-99.09464506452682, 19.51104087544093], [-99.09504189251419, 19.511207115845476], [-99.097511047894, 19.51258898417075]]}"
Anillo Periferico Av. Rio de los Remedios,Autopista Naucalpan - Ecatepec,Av. La Presa,Via de acceso controlado,80,19.51792626,-99.13450018,"{""type"": ""LineString"", ""coordinates"": [[-99.12393489129141, 19.519175280284], [-99.12801519906297, 19.51821679952046], [-99.12827218079399, 19.518121621564582], [-99.1289051183134, 19.517845604254276], [-99.1295332953532, 19.517664764765854], [-99.13019478568977, 19.517598139628273], [-99.131565355513, 19.517526756531357], [-99.1323315417349, 19.517531515036342], [-99.13267894316007, 19.517541033306788], [-99.13378301268003, 19.517660005714056], [-99.1345187056891, 19.51769787246953], [-99.13619102777551, 19.517674282911262], [-99.13773767756499, 19.517669523929627], [-99.1391177645326, 19.517679042039326], [-99.14022183443834, 19.51773139026524], [-99.14116035396287, 19.51779725047704], [-99.14305881455199, 19.517885886338764], [-99.14460867762284, 19.518013865191314], [-99.14480795758942, 19.518055505286807], [-99.14496559603361, 19.518171503694706], [-99.14509646729404, 19.518320220756674]]}"
Anillo Periferico Rio Tlalnepantla,Eje Central Av. de los 100 metros,Autopista Naucalpan - Ecatepec,Via de acceso controlado,80,19.52245968,-99.15180453,"{""type"": ""LineString"", ""coordinates"": [[-99.14509646729404, 19.518320220756674], [-99.14544743731705, 19.519051904710125], [-99.14553666753069, 19.519269030901285], [-99.14564969191301, 19.51948020770271], [-99.14585194591704, 19.519637846900267], [-99.14615235292652, 19.519783588690785], [-99.14760084942492, 19.520464709816277], [-99.14854965962869, 19.520854346767926], [-99.15326099226819, 19.522975040981805], [-99.15387370403089, 19.523239756286866], [-99.15425441756412, 19.523421189656094], [-99.1545310294623, 19.523584777904507], [-99.15486712859314, 19.523819749784156], [-99.15684505544628, 19.525214708934524], [-99.15765407266774, 19.52578577886798], [-99.1580670938684, 19.526057351213225], [-99.1582459627934, 19.526160544377774], [-99.15885421681547, 19.5264224621497], [-99.1588542555479, 19.52642247739407]]}"
Anillo Periferico Av. Acueducto de Guadalupe,Limite Estado de Mexico,Av. Acueducto de Guadalupe,Via de acceso controlado,80,19.520978,-99.14396249,"{""type"": ""LineString"", ""coordinates"": [[-99.12827218079399, 19.518121621564582], [-99.12880993991234, 19.51863558460669], [-99.1292858312276, 19.518973468732277], [-99.12962847369225, 19.519268521556267], [-99.12977600106457, 19.519358940937376], [-99.12992352677233, 19.51941128937488], [-99.1300472590805, 19.519420806939586], [-99.13023285709555, 19.519416048168768], [-99.13191275676111, 19.519306592662492], [-99.13449330693211, 19.519178033599648], [-99.13594356362677, 19.51911147692351], [-99.13652891119222, 19.519097200104778], [-99.13765201680674, 19.51897822776184], [-99.13929860402841, 19.51871648645743], [-99.14042170870492, 19.518521370671614], [-99.14089760156843, 19.51849281729135], [-99.14159716285555, 19.51851661161576], [-99.14256052078439, 19.51862498747362], [-99.14278782545017, 19.518650558620262], [-99.14344662818013, 19.51884533737228], [-99.14387195627627, 19.519035694260996], [-99.14440733553141, 19.519291487066273], [-99.14470179360436, 19.519484817534224], [-99.14496650863425, 19.51969004617408], [-99.14526474759258, 19.519866749744722], [-99.14543050350615, 19.51994286386463], [-99.14707530602792, 19.520674548606383], [-99.15409174146279, 19.523854102695115], [-99.1543683543215, 19.523984973108096], [-99.15460927422107, 19.52413368943983], [-99.15492752696547, 19.524374610232282], [-99.15526362625374, 19.524633377039667], [-99.15572167254163, 19.525025987638532], [-99.15602505390456, 19.525234190352197], [-99.15634628087771, 19.52541562446874], [-99.15660504763581, 19.525555417462172], [-99.15681027549569, 19.525710082854978], [-99.15739324340653, 19.52616218067919], [-99.1579256480029, 19.526545868041215], [-99.1586127173096, 19.526932530571255], [-99.15898994306609, 19.527083012805402]]}"
