nombre,long,lat
Circuito Interior Jose Vasconcelos,-99.18021908,19.41548946
Circuito Interior Instituto Tecnico Industrial,-99.16428443,19.45167306
Circuito Interior Boulevard Puerto Aereo,-99.09250593,19.42665461
Circuito Interior Rio Mixcoac,-99.17940376,19.36620769
Circuito Interior Av. Revolucion,-99.18606134,19.38998474
Anillo Periferico Boulevard Manuel Avila Camacho,-99.213577,19.43911999
Anillo Periferico Av. Rio de los Remedios,-99.08086697,19.50527612
Anillo Periferico Av. Rio de los Remedios,-99.13450018,19.51792626
Anillo Periferico Rio Tlalnepantla,-99.15180453,19.52245968
Anillo Periferico Av. Acueducto de Guadalupe,-99.14396249,19.520978
Anillo Periferico Acueducto de Tenayuca,-99.16747911,19.52906619
Calzada Gral. Ignacio Zaragoza,-99.03688784,19.38499788
Calzada San Antonio Abad,-99.1349526,19.41357631
Liga de Carretas,-99.11017037,19.43141663
Eje Central Av. de los 100 Metros,-99.14833452,19.49857999
Eje 3 Oriente Av. Azucar,-99.11365382,19.40208709
Eje 3 Oriente Geografos,-99.10788339,19.37180838
Eje 5 Sur Av. de las Torres,-99.02118042,19.35570049
Via Expres TAPO,-99.0547123,19.43935968
Eje Central Av. Aztecas,-99.16059875,19.32267075
Eje Central Ajusco,-99.15250912,19.35846984
Eje Central Paganini,-99.13649408,19.46990972
Eje 1 Oriente Ferrocarril Hidalgo,-99.1144048,19.47120341
Eje 1 Oriente Boleo,-99.12376443,19.45599074
Eje 1 Oriente Calzada Canal,-99.12662467,19.42161515
Eje 1 Oriente Calzada de la Viga,-99.1277117,19.41463692
Eje 2 Oriente Canal de Miramontes,-99.12497089,19.30063121
Eje 2 Oriente Heroica Escuela Naval Militar,-99.12299115,19.33311184
Eje 2 Oriente Calzada de la Viga,-99.12226395,19.37374661
Eje 3 Oriente Ingeniero Eduardo Molina,-99.101798,19.46912895
Eje 3 Oriente Calzada Gral. Ignacio Zaragoza,-99.11344933,19.42869253
Eje 3 Oriente Av. Arneses,-99.11166538,19.34768644
Eje 3 Oriente Armada de Mexico,-99.1116696,19.31587174
Eje 3 Oriente Cafetales,-99.11342267,19.30008694
Eje 5 Oriente Av. Lic. Javier Rojo Gomez,-99.07763137,19.38046862
Eje 5 Oriente Av. Central,-99.06982357,19.4095636
Eje 1 Poniente Calzada Vallejo,-99.15553847,19.49795928
Eje 1 Poniente Guerrero,-99.14699057,19.44711734
Eje 1 Poniente Bucareli,-99.15169495,19.43069314
Eje 2 Poniente Casa del Obrero Mundial,-99.16045968,19.40145949
Eje 2 Poniente Monterrey,-99.16277872,19.41226617
Eje 3 Poniente Sevilla,-99.17086468,19.42360939
Eje 3 Poniente Av. Coyoacan,-99.1700858,19.37400123
Eje 4 Poniente Av. Revolucion,-99.18998524,19.35436797
Eje 5 Poniente Escuadron 201,-99.20003539,19.38671131
Eje 1 Norte Heroes de Granaditas,-99.12691193,19.44298805
Eje 1 Norte Norte 17,-99.10023129,19.43075505
Eje 1 Norte Fuerza Aerea Mexicana,-99.08514276,19.4223869
Eje 1 Norte Manuel Lebrija,-99.07580868,19.41598829
Eje 2 Norte Heliopolis,-99.18185134,19.46889498
