fecha,mes,anio,servicio,tipo_pago,afluencia
2022-01-01,Enero,2022,Sevicios Temporales,Boleto,0
2022-01-01,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-01,Enero,2022,Sevicios Temporales,Gratuidad,0
2022-01-02,Enero,2022,Sevicios Temporales,Boleto,0
2022-01-02,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-02,Enero,2022,Sevicios Temporales,Gratuidad,0
2022-01-03,Enero,2022,Sevicios Temporales,Boleto,0
2022-01-03,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-03,Enero,2022,Sevicios Temporales,Gratuidad,0
2022-01-04,Enero,2022,Sevicios Temporales,Boleto,0
2022-01-04,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-04,Enero,2022,Sevicios Temporales,Gratuidad,0
2022-01-05,Enero,2022,Sevicios Temporales,Boleto,0
2022-01-05,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-05,Enero,2022,Sevicios Temporales,Gratuidad,0
2022-01-06,Enero,2022,Sevicios Temporales,Boleto,1798
2022-01-06,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-06,Enero,2022,Sevicios Temporales,Gratuidad,311
2022-01-07,Enero,2022,Sevicios Temporales,Boleto,2065
2022-01-07,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-07,Enero,2022,Sevicios Temporales,Gratuidad,357
2022-01-08,Enero,2022,Sevicios Temporales,Boleto,1583
2022-01-08,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-08,Enero,2022,Sevicios Temporales,Gratuidad,274
2022-01-09,Enero,2022,Sevicios Temporales,Boleto,1359
2022-01-09,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-09,Enero,2022,Sevicios Temporales,Gratuidad,235
2022-01-10,Enero,2022,Sevicios Temporales,Boleto,2030
2022-01-10,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-10,Enero,2022,Sevicios Temporales,Gratuidad,351
2022-01-11,Enero,2022,Sevicios Temporales,Boleto,2368
2022-01-11,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-11,Enero,2022,Sevicios Temporales,Gratuidad,409
2022-01-12,Enero,2022,Sevicios Temporales,Boleto,1945
2022-01-12,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-12,Enero,2022,Sevicios Temporales,Gratuidad,336
2022-01-13,Enero,2022,Sevicios Temporales,Boleto,2083
2022-01-13,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-13,Enero,2022,Sevicios Temporales,Gratuidad,360
2022-01-14,Enero,2022,Sevicios Temporales,Boleto,2284
2022-01-14,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-14,Enero,2022,Sevicios Temporales,Gratuidad,395
2022-01-15,Enero,2022,Sevicios Temporales,Boleto,1691
2022-01-15,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-15,Enero,2022,Sevicios Temporales,Gratuidad,292
2022-01-16,Enero,2022,Sevicios Temporales,Boleto,596
2022-01-16,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-16,Enero,2022,Sevicios Temporales,Gratuidad,103
2022-01-17,Enero,2022,Sevicios Temporales,Boleto,2979
2022-01-17,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-17,Enero,2022,Sevicios Temporales,Gratuidad,515
2022-01-18,Enero,2022,Sevicios Temporales,Boleto,2623
2022-01-18,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-18,Enero,2022,Sevicios Temporales,Gratuidad,453
2022-01-19,Enero,2022,Sevicios Temporales,Boleto,2537
2022-01-19,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-19,Enero,2022,Sevicios Temporales,Gratuidad,439
2022-01-20,Enero,2022,Sevicios Temporales,Boleto,2057
2022-01-20,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-20,Enero,2022,Sevicios Temporales,Gratuidad,356
2022-01-21,Enero,2022,Sevicios Temporales,Boleto,3119
2022-01-21,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-21,Enero,2022,Sevicios Temporales,Gratuidad,539
2022-01-22,Enero,2022,Sevicios Temporales,Boleto,3166
2022-01-22,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-22,Enero,2022,Sevicios Temporales,Gratuidad,547
2022-01-23,Enero,2022,Sevicios Temporales,Boleto,1105
2022-01-23,Enero,2022,Sevicios Temporales,Prepago,0
2022-01-23,Enero,2022,Sevicios Temporales,Gratuidad,191
2022-01-24,Enero,2022,Sevicios Temporales,Boleto,2931
2022-01-24,Enero,2022,Sevicios Temporales,Prepago,0
